"time","ax"
1.578459744E2,3.852444589E-1
1.578485060E2,4.187439680E-1
1.578510376E2,4.477569461E-1
1.578535692E2,4.283152521E-1
1.578561007E2,3.996013701E-1
1.578586323E2,3.972085714E-1
1.578611763E2,4.259224236E-1
1.578637079E2,3.589234054E-1
1.578662394E2,3.756731451E-1
1.578687710E2,4.163511395E-1
1.578713026E2,4.019941986E-1
1.578738342E2,4.043870270E-1
1.578763658E2,3.684946895E-1
1.578788974E2,3.972085714E-1
1.578814289E2,4.235295951E-1
1.578839605E2,3.708875179E-1
1.578864921E2,3.876372576E-1
1.578890237E2,3.708875179E-1
1.578915918E2,3.565305769E-1
1.578941234E2,3.900300860E-1
1.578966550E2,4.091726840E-1
1.578991866E2,3.852444589E-1
1.579017181E2,4.187439680E-1
1.579042497E2,4.019941986E-1
1.579067813E2,3.972085714E-1
1.579093129E2,3.756731451E-1
1.579118445E2,3.661018610E-1
1.579143760E2,4.067798555E-1
1.579169076E2,4.115654826E-1
1.579194392E2,3.852444589E-1
1.579219219E2,4.091726840E-1
1.579244534E2,4.019941986E-1
1.579269850E2,4.235295951E-1
1.579295166E2,3.589234054E-1
1.579320482E2,3.924229145E-1
1.579345797E2,4.163511395E-1
1.579371113E2,3.828516304E-1
1.579396429E2,4.067798555E-1
1.579421745E2,3.684946895E-1
1.579447060E2,3.876372576E-1
1.579472376E2,4.139583111E-1
1.579497692E2,3.948157430E-1
1.579523010E2,4.283152521E-1
1.579548326E2,3.589234054E-1
1.579573642E2,3.996013701E-1
1.579598958E2,3.900300860E-1
1.579624274E2,3.996013701E-1
